text,file,line
"hello",./packages/cli/src/commands/mcp/remove.test.ts,42
"non-existent-server",./packages/cli/src/commands/mcp/remove.test.ts,77
"mcpServers",./packages/cli/src/commands/mcp/remove.test.ts,113
"server-to-keep",./packages/cli/src/commands/mcp/remove.test.ts,114
"command",./packages/cli/src/commands/mcp/remove.test.ts,115
"node",./packages/cli/src/commands/mcp/remove.test.ts,115
"args",./packages/cli/src/commands/mcp/remove.test.ts,116
"keep.js",./packages/cli/src/commands/mcp/remove.test.ts,116
"server-to-remove",./packages/cli/src/commands/mcp/remove.test.ts,118
"command",./packages/cli/src/commands/mcp/remove.test.ts,119
"node",./packages/cli/src/commands/mcp/remove.test.ts,119
"args",./packages/cli/src/commands/mcp/remove.test.ts,120
"remove.js",./packages/cli/src/commands/mcp/remove.test.ts,120
"server-to-keep",./packages/cli/src/commands/mcp/remove.test.ts,130
"server-to-remove",./packages/cli/src/commands/mcp/remove.test.ts,131
"server-to-remove",./packages/cli/src/commands/mcp/remove.test.ts,134
"mcpServers",./packages/cli/src/commands/mcp/remove.test.ts,142
"context7",./packages/cli/src/commands/mcp/remove.test.ts,144
"command",./packages/cli/src/commands/mcp/remove.test.ts,145
"node",./packages/cli/src/commands/mcp/remove.test.ts,145
"args",./packages/cli/src/commands/mcp/remove.test.ts,146
"server.js",./packages/cli/src/commands/mcp/remove.test.ts,146
"oldServer",./packages/cli/src/commands/mcp/remove.test.ts,149
"command",./packages/cli/src/commands/mcp/remove.test.ts,150
"old",./packages/cli/src/commands/mcp/remove.test.ts,150
"args",./packages/cli/src/commands/mcp/remove.test.ts,151
"old.js",./packages/cli/src/commands/mcp/remove.test.ts,151
"context7",./packages/cli/src/commands/mcp/remove.test.ts,162
"oldServer",./packages/cli/src/commands/mcp/remove.test.ts,163
"mcpServers",./packages/cli/src/commands/mcp/remove.test.ts,171
"only-server",./packages/cli/src/commands/mcp/remove.test.ts,172
"command",./packages/cli/src/commands/mcp/remove.test.ts,173
"node",./packages/cli/src/commands/mcp/remove.test.ts,173
"args",./packages/cli/src/commands/mcp/remove.test.ts,174
"server.js",./packages/cli/src/commands/mcp/remove.test.ts,174
"mcpServers",./packages/cli/src/commands/mcp/remove.test.ts,184
"only-server",./packages/cli/src/commands/mcp/remove.test.ts,185
"mcpServers",./packages/cli/src/commands/mcp/remove.test.ts,186
"model",./packages/cli/src/commands/mcp/remove.test.ts,193
"model",./packages/cli/src/commands/mcp/remove.test.ts,193
"name",./packages/cli/src/commands/mcp/remove.test.ts,193
"model",./packages/cli/src/commands/mcp/remove.test.ts,195
"name",./packages/cli/src/commands/mcp/remove.test.ts,196
"gemini-2.5-pro",./packages/cli/src/commands/mcp/remove.test.ts,196
"mcpServers",./packages/cli/src/commands/mcp/remove.test.ts,198
"server1",./packages/cli/src/commands/mcp/remove.test.ts,199
"command",./packages/cli/src/commands/mcp/remove.test.ts,200
