text,file,line
"YOUR_PROJECT_ID",./README.md,156
"YOUR_API_KEY",./README.md,172
"YOUR_API_KEY",./README.md,188
"Explain the architecture of this codebase",./README.md,223
"Explain the architecture of this codebase",./README.md,230
"Run tests and deploy",./README.md,237
"center",./README.md,372
"what",./docs/issue-and-pr-automation.md,12
"why",./docs/issue-and-pr-automation.md,12
"how",./docs/issue-and-pr-automation.md,13
"X",./docs/issue-and-pr-automation.md,70
"Details",./docs/issue-and-pr-automation.md,70
"nightly",./docs/issue-and-pr-automation.md,119
"name",./docs/extensions/getting-started-extensions.md,46
"my-first-extension",./docs/extensions/getting-started-extensions.md,46
"version",./docs/extensions/getting-started-extensions.md,47
"mcpServers",./docs/extensions/getting-started-extensions.md,48
"nodeServer",./docs/extensions/getting-started-extensions.md,49
"command",./docs/extensions/getting-started-extensions.md,50
"node",./docs/extensions/getting-started-extensions.md,50
"args",./docs/extensions/getting-started-extensions.md,51
"${extensionPath}${/}dist${/}example.js",./docs/extensions/getting-started-extensions.md,51
"cwd",./docs/extensions/getting-started-extensions.md,52
"${extensionPath}",./docs/extensions/getting-started-extensions.md,52
"fetch posts",./docs/extensions/getting-started-extensions.md,159
"some pattern",./docs/extensions/getting-started-extensions.md,187
"name",./docs/extensions/getting-started-extensions.md,209
"my-first-extension",./docs/extensions/getting-started-extensions.md,209
"version",./docs/extensions/getting-started-extensions.md,210
"contextFileName",./docs/extensions/getting-started-extensions.md,211
"GEMINI.md",./docs/extensions/getting-started-extensions.md,211
"mcpServers",./docs/extensions/getting-started-extensions.md,212
"nodeServer",./docs/extensions/getting-started-extensions.md,213
"command",./docs/extensions/getting-started-extensions.md,214
"node",./docs/extensions/getting-started-extensions.md,214
"args",./docs/extensions/getting-started-extensions.md,215
"${extensionPath}${/}dist${/}example.js",./docs/extensions/getting-started-extensions.md,215
"cwd",./docs/extensions/getting-started-extensions.md,216
"${extensionPath}",./docs/extensions/getting-started-extensions.md,216
"name",./docs/extensions/index.md,146
"my-extension",./docs/extensions/index.md,146
"version",./docs/extensions/index.md,147
"mcpServers",./docs/extensions/index.md,148
"my-server",./docs/extensions/index.md,149
"command",./docs/extensions/index.md,150
"node my-server.js",./docs/extensions/index.md,150
"contextFileName",./docs/extensions/index.md,153
"GEMINI.md",./docs/extensions/index.md,153
"excludeTools",./docs/extensions/index.md,154
"run_shell_command",./docs/extensions/index.md,154
"excludeTools",./docs/extensions/index.md,180
"run_shell_command(rm -rf)",./docs/extensions/index.md,180
"name",./docs/extensions/index.md,209
"my-api-extension",./docs/extensions/index.md,209
"version",./docs/extensions/index.md,210
"settings",./docs/extensions/index.md,211
"name",./docs/extensions/index.md,213
"API Key",./docs/extensions/index.md,213
"description",./docs/extensions/index.md,214
"Your API key for the service.",./docs/extensions/index.md,214
"envVar",./docs/extensions/index.md,215
"MY_API_KEY",./docs/extensions/index.md,215
"cwd",./docs/extensions/index.md,269
"${extensionPath}${/}run.ts",./docs/extensions/index.md,269
"stable",./docs/extensions/extension-releasing.md,46
"latest",./docs/extensions/extension-releasing.md,79
"latest",./docs/extensions/extension-releasing.md,84
"reads a file",./docs/integration-tests.md,56
"true",./docs/integration-tests.md,65
"true",./docs/integration-tests.md,72
"npm run test:e2e -- -- --test-name-pattern '<your-new-test-name>'",./docs/integration-tests.md,86
"<your-test-name-pattern>",./docs/integration-tests.md,92
"type",./docs/faq.md,30
"module",./docs/faq.md,30
"module",./docs/faq.md,31
"NodeNext",./docs/faq.md,31
"your-project-id",./docs/faq.md,79
"Is this release _truly_ ready for our users?",./docs/release-confidence.md,9
"Tell me a joke",./docs/release-confidence.md,88
"Summarize this",./docs/release-confidence.md,93
"Turbo",./docs/release-confidence.md,135
"Tool Call",./docs/release-confidence.md,142
"Go/No-Go",./docs/release-confidence.md,152
"/some-mcp-prompt",./docs/changelogs/index.md,145
"latest",./docs/changelogs/index.md,183
"useWriteTodos",./docs/changelogs/index.md,259
"/joke Chuck Norris",./docs/changelogs/index.md,270
"Hello",./docs/changelogs/index.md,367
"enableToolOutputTruncation",./docs/changelogs/index.md,373
"ui",./docs/changelogs/index.md,380
"customWittyPhrases",./docs/changelogs/index.md,380
"YOLO",./docs/changelogs/index.md,380
"enforcedAuthType",./docs/changelogs/index.md,388
"oauth-personal|gemini-api-key|…",./docs/changelogs/index.md,388
"useSmartEdit",./docs/changelogs/index.md,413
"skipNextSpeakerCheck",./docs/changelogs/index.md,419
"general",./docs/changelogs/index.md,425
"enablePromptCompletion",./docs/changelogs/index.md,425
"showCitations",./docs/changelogs/index.md,440
"pro",./docs/core/index.md,65
"pro",./docs/core/index.md,67
"flash",./docs/core/index.md,68
"Summarize the contents of `my_document.txt`,",./docs/tools/index.md,12
"run_shell_command",./docs/core/policy-engine.md,33
"git ",./docs/core/policy-engine.md,34
"ask_user",./docs/core/policy-engine.md,35
"run_shell_command",./docs/core/policy-engine.md,137
"mcpName__toolName",./docs/core/policy-engine.md,140
"my-custom-server",./docs/core/policy-engine.md,141
"command",./docs/core/policy-engine.md,144
"run_shell_command",./docs/core/policy-engine.md,147
"git ",./docs/core/policy-engine.md,148
"run_shell_command",./docs/core/policy-engine.md,151
"command",./docs/core/policy-engine.md,152
"<your_command>",./docs/core/policy-engine.md,152
"^git (commit|push)",./docs/core/policy-engine.md,154
"allow",./docs/core/policy-engine.md,156
"deny",./docs/core/policy-engine.md,156
"ask_user",./docs/core/policy-engine.md,156
"ask_user",./docs/core/policy-engine.md,157
"autoEdit",./docs/core/policy-engine.md,163
"write_file",./docs/core/policy-engine.md,177
"replace",./docs/core/policy-engine.md,177
"ask_user",./docs/core/policy-engine.md,178
"run_shell_command",./docs/core/policy-engine.md,198
"git ",./docs/core/policy-engine.md,199
"ask_user",./docs/core/policy-engine.md,200
"my-jira-server",./docs/core/policy-engine.md,217
"search",./docs/core/policy-engine.md,218
"allow",./docs/core/policy-engine.md,219
"untrusted-server",./docs/core/policy-engine.md,231
"deny",./docs/core/policy-engine.md,232
"workspaces",./docs/npm.md,42
"packages/*",./docs/npm.md,42
"hostname:port",./docs/examples/proxy-script.md,39
"your prompt here",./docs/get-started/deployment.md,58
"mcp",./docs/tools/mcp-server.md,91
"allowed",./docs/tools/mcp-server.md,92
"my-trusted-server",./docs/tools/mcp-server.md,92
"excluded",./docs/tools/mcp-server.md,93
"experimental-server",./docs/tools/mcp-server.md,93
"mcpServers",./docs/tools/mcp-server.md,109
"serverName",./docs/tools/mcp-server.md,110
"command",./docs/tools/mcp-server.md,111
"path/to/server",./docs/tools/mcp-server.md,111
"args",./docs/tools/mcp-server.md,112
"--arg1",./docs/tools/mcp-server.md,112
"value1",./docs/tools/mcp-server.md,112
"env",./docs/tools/mcp-server.md,113
"API_KEY",./docs/tools/mcp-server.md,114
"$MY_API_TOKEN",./docs/tools/mcp-server.md,114
"cwd",./docs/tools/mcp-server.md,116
"./server-directory",./docs/tools/mcp-server.md,116
"timeout",./docs/tools/mcp-server.md,117
"trust",./docs/tools/mcp-server.md,118
"http://localhost:8080/sse",./docs/tools/mcp-server.md,131
"mcpServers",./docs/tools/mcp-server.md,173
"discoveredServer",./docs/tools/mcp-server.md,174
"url",./docs/tools/mcp-server.md,175
"https://api.example.com/sse",./docs/tools/mcp-server.md,175
"mcpServers",./docs/tools/mcp-server.md,272
"googleCloudServer",./docs/tools/mcp-server.md,273
"httpUrl",./docs/tools/mcp-server.md,274
"https://my-gcp-service.run.app/mcp",./docs/tools/mcp-server.md,274
"authProviderType",./docs/tools/mcp-server.md,275
"google_credentials",./docs/tools/mcp-server.md,275
"oauth",./docs/tools/mcp-server.md,276
"scopes",./docs/tools/mcp-server.md,277
"https://www.googleapis.com/auth/userinfo.email",./docs/tools/mcp-server.md,277
"Security",./docs/tools/mcp-server.md,313
"mcpServers",./docs/tools/mcp-server.md,327
"pythonTools",./docs/tools/mcp-server.md,328
"command",./docs/tools/mcp-server.md,329
"python",./docs/tools/mcp-server.md,329
"args",./docs/tools/mcp-server.md,330
"-m",./docs/tools/mcp-server.md,330
"my_mcp_server",./docs/tools/mcp-server.md,330
"--port",./docs/tools/mcp-server.md,330
"cwd",./docs/tools/mcp-server.md,331
"./mcp-servers/python",./docs/tools/mcp-server.md,331
"env",./docs/tools/mcp-server.md,332
"DATABASE_URL",./docs/tools/mcp-server.md,333
"$DB_CONNECTION_STRING",./docs/tools/mcp-server.md,333
"API_KEY",./docs/tools/mcp-server.md,334
"${EXTERNAL_API_KEY}",./docs/tools/mcp-server.md,334
"timeout",./docs/tools/mcp-server.md,336
"mcpServers",./docs/tools/mcp-server.md,346
"nodeServer",./docs/tools/mcp-server.md,347
"command",./docs/tools/mcp-server.md,348
"node",./docs/tools/mcp-server.md,348
"args",./docs/tools/mcp-server.md,349
"dist/server.js",./docs/tools/mcp-server.md,349
"--verbose",./docs/tools/mcp-server.md,349
"cwd",./docs/tools/mcp-server.md,350
"./mcp-servers/node",./docs/tools/mcp-server.md,350
"trust",./docs/tools/mcp-server.md,351
"mcpServers",./docs/tools/mcp-server.md,361
"dockerizedServer",./docs/tools/mcp-server.md,362
"command",./docs/tools/mcp-server.md,363
"docker",./docs/tools/mcp-server.md,363
"args",./docs/tools/mcp-server.md,364
"run",./docs/tools/mcp-server.md,365
"-i",./docs/tools/mcp-server.md,366
"--rm",./docs/tools/mcp-server.md,367
"-e",./docs/tools/mcp-server.md,368
"API_KEY",./docs/tools/mcp-server.md,369
"-v",./docs/tools/mcp-server.md,370
"${PWD}:/workspace",./docs/tools/mcp-server.md,371
"my-mcp-server:latest",./docs/tools/mcp-server.md,372
"env",./docs/tools/mcp-server.md,374
"API_KEY",./docs/tools/mcp-server.md,375
"$EXTERNAL_SERVICE_TOKEN",./docs/tools/mcp-server.md,375
"mcpServers",./docs/tools/mcp-server.md,386
"httpServer",./docs/tools/mcp-server.md,387
"httpUrl",./docs/tools/mcp-server.md,388
"http://localhost:3000/mcp",./docs/tools/mcp-server.md,388
"timeout",./docs/tools/mcp-server.md,389
"mcpServers",./docs/tools/mcp-server.md,399
"httpServerWithAuth",./docs/tools/mcp-server.md,400
"httpUrl",./docs/tools/mcp-server.md,401
"http://localhost:3000/mcp",./docs/tools/mcp-server.md,401
"headers",./docs/tools/mcp-server.md,402
"Authorization",./docs/tools/mcp-server.md,403
"Bearer your-api-token",./docs/tools/mcp-server.md,403
"X-Custom-Header",./docs/tools/mcp-server.md,404
"custom-value",./docs/tools/mcp-server.md,404
"Content-Type",./docs/tools/mcp-server.md,405
"application/json",./docs/tools/mcp-server.md,405
"timeout",./docs/tools/mcp-server.md,407
"mcpServers",./docs/tools/mcp-server.md,417
"filteredServer",./docs/tools/mcp-server.md,418
"command",./docs/tools/mcp-server.md,419
"python",./docs/tools/mcp-server.md,419
"args",./docs/tools/mcp-server.md,420
"-m",./docs/tools/mcp-server.md,420
"my_mcp_server",./docs/tools/mcp-server.md,420
"includeTools",./docs/tools/mcp-server.md,421
"safe_tool",./docs/tools/mcp-server.md,421
"file_reader",./docs/tools/mcp-server.md,421
