text,file,line
"vitest",./packages/a2a-server/vitest.config.ts,7
"${outcomeString}",./packages/a2a-server/src/agent/task.ts,709
"${completedToolCall.request.name}",./packages/a2a-server/src/agent/task.ts,840
"Hello!",./packages/a2a-server/src/http/app.ts,62
"command",./packages/a2a-server/src/http/app.ts,151
"args",./packages/a2a-server/src/http/app.ts,157
"vitest",./packages/cli/vitest.config.ts,7
"port",./packages/test-utils/src/file-system-test-helpers.ts,33
"column",./packages/cli/src/ui/privacy/CloudPaidPrivacyNotice.tsx,28
"column",./packages/cli/src/ui/privacy/GeminiPrivacyNotice.tsx,26
"round",./packages/cli/src/ui/privacy/PrivacyNotice.tsx,39
"column",./packages/cli/src/ui/privacy/PrivacyNotice.tsx,39
"column",./packages/cli/src/ui/privacy/CloudFreePrivacyNotice.tsx,45
"column",./packages/cli/src/ui/privacy/CloudFreePrivacyNotice.tsx,56
"column",./packages/cli/src/ui/privacy/CloudFreePrivacyNotice.tsx,76
"column",./packages/cli/src/ui/privacy/CloudFreePrivacyNotice.tsx,107
"${payload.message}",./packages/cli/src/ui/AppContainer.tsx,1234
"No, don't ask again",./packages/cli/src/ui/IdeIntegrationNudge.tsx,64
"No, don't ask again",./packages/cli/src/ui/IdeIntegrationNudge.tsx,69
"column",./packages/cli/src/ui/IdeIntegrationNudge.tsx,83
"round",./packages/cli/src/ui/IdeIntegrationNudge.tsx,84
"column",./packages/cli/src/ui/IdeIntegrationNudge.tsx,90
"${name}",./packages/cli/src/commands/mcp/remove.ts,27
"${name}",./packages/cli/src/commands/mcp/remove.ts,35
"value",./packages/cli/src/ui/contexts/SessionContext.tsx,167
"${name}",./packages/cli/src/commands/mcp/add.ts,120
"${name}",./packages/cli/src/commands/mcp/add.ts,129
"${name}",./packages/cli/src/commands/mcp/add.ts,132
"X-Api-Key: abc123",./packages/cli/src/commands/mcp/add.ts,181
"Authorization: Bearer abc123",./packages/cli/src/commands/mcp/add.ts,181
"${name}",./packages/cli/src/commands/extensions/uninstall.ts,34
"${name}",./packages/cli/src/commands/extensions/uninstall.ts,42
"${info.name}",./packages/cli/src/commands/extensions/update.ts,29
"${args.name}",./packages/cli/src/commands/extensions/update.ts,48
"${args.name}",./packages/cli/src/commands/extensions/update.ts,53
"${args.name}",./packages/cli/src/commands/extensions/update.ts,62
"${args.name}",./packages/cli/src/commands/extensions/update.ts,78
"${args.name}",./packages/cli/src/commands/extensions/update.ts,81
"${args.template}",./packages/cli/src/commands/extensions/new.ts,55
"gemini extensions link ${args.path}",./packages/cli/src/commands/extensions/new.ts,71
"${args.name}",./packages/cli/src/commands/extensions/enable.ts,41
"${args.scope}",./packages/cli/src/commands/extensions/enable.ts,41
"${args.name}",./packages/cli/src/commands/extensions/enable.ts,45
"Extensions are not yet loaded, can't restart yet",./packages/cli/src/ui/commands/extensionsCommand.ts,134
"user",./packages/cli/src/ui/commands/extensionsCommand.ts,335
"workspace",./packages/cli/src/ui/commands/extensionsCommand.ts,335
"session",./packages/cli/src/ui/commands/extensionsCommand.ts,335
"${name}",./packages/cli/src/ui/commands/extensionsCommand.ts,373
"${scope}",./packages/cli/src/ui/commands/extensionsCommand.ts,373
"${name}",./packages/cli/src/ui/commands/extensionsCommand.ts,390
"${scope}",./packages/cli/src/ui/commands/extensionsCommand.ts,390
"${args.trim()}",./packages/cli/src/ui/commands/memoryCommand.ts,58
"${url}",./packages/cli/src/ui/commands/setupGithubCommand.ts,49
"Successfully downloaded ${GITHUB_WORKFLOW_PATHS.length} workflows and updated .gitignore. Follow the steps in ${readmeUrl} (skipping the /setup-github step) to complete setup.",./packages/cli/src/ui/commands/setupGithubCommand.ts,195
"${extension.name}",./packages/cli/src/commands/extensions/link.ts,40
"round",./packages/cli/src/ui/auth/ApiAuthDialog.tsx,49
"column",./packages/cli/src/ui/auth/ApiAuthDialog.tsx,51
"column",./packages/cli/src/ui/auth/ApiAuthDialog.tsx,58
"row",./packages/cli/src/ui/auth/ApiAuthDialog.tsx,70
"round",./packages/cli/src/ui/auth/ApiAuthDialog.tsx,72
"Paste your API key here",./packages/cli/src/ui/auth/ApiAuthDialog.tsx,81
"round",./packages/cli/src/ui/auth/AuthDialog.tsx,174
"row",./packages/cli/src/ui/auth/AuthDialog.tsx,176
"flex-start",./packages/cli/src/ui/auth/AuthDialog.tsx,179
"column",./packages/cli/src/ui/auth/AuthDialog.tsx,182
"vitest/globals",./packages/cli/src/test-utils/customMatchers.ts,7
"${l.content}",./packages/cli/src/test-utils/customMatchers.ts,46
"column",./packages/cli/src/test-utils/render.tsx,192
"Gemini API Key",./packages/cli/src/ui/auth/useAuth.ts,75
"${defaultAuthType}",./packages/cli/src/ui/auth/useAuth.ts,103
"${authType}",./packages/cli/src/ui/auth/useAuth.ts,112
"round",./packages/cli/src/ui/auth/AuthInProgress.tsx,43
"column",./packages/cli/src/ui/auth/AuthInProgress.tsx,45
"dots",./packages/cli/src/ui/auth/AuthInProgress.tsx,56
"/memory add some data",./packages/cli/src/utils/commands.ts,19
"/help",./packages/cli/src/utils/commands.ts,19
"Agent powering down. Goodbye!",./packages/cli/src/ui/components/SessionSummaryDisplay.tsx,17
"column",./packages/cli/src/ui/components/Tips.tsx,19
"tr_TR.UTF-8",./packages/cli/src/utils/locale.ts,15
"tr-TR",./packages/cli/src/utils/locale.ts,15
"en_US",./packages/cli/src/utils/locale.ts,16
"en-US",./packages/cli/src/utils/locale.ts,16
"fr",./packages/cli/src/utils/locale.ts,17
"fr",./packages/cli/src/utils/locale.ts,17
"round",./packages/cli/src/ui/components/ConsentPrompt.tsx,25
"column",./packages/cli/src/ui/components/ConsentPrompt.tsx,27
"column",./packages/cli/src/ui/components/MainContent.tsx,54
"app-header",./packages/cli/src/ui/components/MainContent.tsx,96
"app-header",./packages/cli/src/ui/components/MainContent.tsx,145
" flexDirection=",./packages/cli/src/ui/components/LoopDetectionConfirmation.tsx,53
"column",./packages/cli/src/ui/components/LoopDetectionConfirmation.tsx,55
"round",./packages/cli/src/ui/components/LoopDetectionConfirmation.tsx,56
"column",./packages/cli/src/ui/components/LoopDetectionConfirmation.tsx,61
"Loop detected:",./packages/cli/src/ui/components/LoopDetectionConfirmation.tsx,64
"truncate-end",./packages/cli/src/ui/components/LoopDetectionConfirmation.tsx,69
"column",./packages/cli/src/ui/components/LoopDetectionConfirmation.tsx,77
"column",./packages/cli/src/ui/components/ContextSummaryDisplay.tsx,90
" or ",./packages/cli/src/utils/sandbox.ts,60
" or ",./packages/cli/src/utils/sandbox.ts,61
"$PATH${pathSuffix}",./packages/cli/src/utils/sandbox.ts,141
"$PYTHONPATH${pythonPathSuffix}",./packages/cli/src/utils/sandbox.ts,157
"${nodeOptions}",./packages/cli/src/utils/sandbox.ts,275
"{{.Names}}",./packages/cli/src/utils/sandbox.ts,569
"${allNodeOptions}",./packages/cli/src/utils/sandbox.ts,700
"round",./packages/cli/src/ui/components/ProQuotaDialog.tsx,39
"column",./packages/cli/src/ui/components/ProQuotaDialog.tsx,39
"column",./packages/cli/src/ui/components/AnsiOutput.tsx,30
"truncate",./packages/cli/src/ui/components/AnsiOutput.tsx,32
"git pull",./packages/cli/src/utils/installationInfo.ts,60
"^gemini-cli$",./packages/cli/src/utils/installationInfo.ts,84
"brew upgrade",./packages/cli/src/utils/installationInfo.ts,91
"Locally installed. Please update via your project's package.json.",./packages/cli/src/utils/installationInfo.ts,162
"flex-end",./packages/cli/src/ui/components/ToolStatsDisplay.tsx,42
"flex-end",./packages/cli/src/ui/components/ToolStatsDisplay.tsx,45
"flex-end",./packages/cli/src/ui/components/ToolStatsDisplay.tsx,48
"round",./packages/cli/src/ui/components/ToolStatsDisplay.tsx,65
"round",./packages/cli/src/ui/components/ToolStatsDisplay.tsx,98
"column",./packages/cli/src/ui/components/ToolStatsDisplay.tsx,100
"flex-end",./packages/cli/src/ui/components/ToolStatsDisplay.tsx,117
"flex-end",./packages/cli/src/ui/components/ToolStatsDisplay.tsx,122
"flex-end",./packages/cli/src/ui/components/ToolStatsDisplay.tsx,127
"single",./packages/cli/src/ui/components/ToolStatsDisplay.tsx,136
"flex-end",./packages/cli/src/ui/components/ToolStatsDisplay.tsx,162
"flex-end",./packages/cli/src/ui/components/ToolStatsDisplay.tsx,172
